Country Code,2023
ABW,42740
AFE,4404.623604
AFG,2210
AFW,6310.640476
AGO,9020
ALB,24510
AND,74250
ARB,18406.18216
ARE,80140
ARG,29570
ARM,20980
ASM,
ATG,30270
AUS,69080
AUT,73570
AZE,22660
BDI,1150
BEL,72940
BEN,4090
BFA,2610
BGD,9510
BGR,36930
BHR,60550
BHS,37180
BIH,23260
BLR,29830
BLZ,13230
BMU,116760
BOL,12580
BRA,20500
BRB,22750
BRN,86130
BTN,15320
BWA,21040
CAF,1330
CAN,63090
CEB,46542.93349
CHE,87730
CHI,
CHL,31720
CHN,24990
CIV,6960
CMR,5300
COD,1680
COG,6150
COL,20700
COM,3830
CPV,10110
CRI,26900
CSS,30342.75393
CUB,
CUW,31250
CYM,68030
CYP,53610
CZE,54960
DEU,74200
DJI,7420
DMA,20270
DNK,80110
DOM,24670
DZA,16580
EAP,21468.70419
EAR,13112.6815
EAS,25559.08664
ECA,27180.85306
ECS,49927.93684
ECU,15550
EGY,17710
EMU,64057.9541
ERI,
ESP,55410
EST,47120
ETH,3050
EUU,61197.04291
FCS,6172.22362
FIN,63710
FJI,13810
FRA,61980
FRO,80260
FSM,4660
GAB,19300
GBR,59630
GEO,23130
GHA,7070
GIB,
GIN,3960
GMB,3250
GNB,3010
GNQ,12250
GRC,41370
GRD,17000
GRL,
GTM,13490
GUM,
GUY,43650
HIC,64526.67009
HKG,77570
HND,6640
HPC,3343.850013
HRV,47600
HTI,3290
HUN,45160
IBD,19533.36777
IBT,15599.6482
IDA,5392.478788
IDB,7157.254817
IDN,15010
IDX,4459.579475
IMN,
IND,10180
INX,
IRL,98760
IRN,18880
IRQ,14710
ISL,83100
ISR,54860
ITA,59720
JAM,12480
JOR,10330
JPN,53680
KAZ,34600
KEN,6210
KGZ,7200
KHM,7260
KIR,5910
KNA,33420
KOR,58260
KWT,63380
LAC,20469.96244
LAO,8610
LBN,12420
LBR,1680
LBY,14530
LCA,23850
LCN,21329.8704
LDC,4266.76522
LIC,2239.23471
LIE,
LKA,14020
LMC,9483.683693
LMY,14692.47149
LSO,3500
LTE,25975.63949
LTU,50750
LUX,104460
LVA,41250
MAC,113320
MAF,
MAR,9740
MCO,
MDA,18030
MDG,1770
MDV,21950
MEA,15705.59985
MEX,24620
MHL,9070
MIC,15981.23267
MKD,24070
MLI,3060
MLT,58950
MMR,5800
MNA,10686.39691
MNE,32170
MNG,16030
MNP,
MOZ,1530
MRT,6970
MUS,33230
MWI,1800
MYS,35350
NAC,80532.83039
NAM,10710
NCL,
NER,1850
NGA,8510
NIC,7940
NLD,81050
NOR,108980
NPL,5460
NRU,22510
NZL,52810
OED,59801.00398
OMN,39640
OSS,27405.97988
PAK,5910
PAN,37900
PER,16100
PHL,12190
PLW,18320
PNG,4320
POL,46500
PRE,4969.340198
PRI,32870
PRK,
PRT,48040
PRY,16950
PSE,7180
PSS,7863.014222
PST,66046.75691
PYF,
QAT,125750
ROU,44840
RUS,43690
RWA,3330
SAS,10085.81345
SAU,72020
SDN,2430
SEN,4620
SGP,117340
SLB,2640
SLE,3340
SLV,11880
SMR,71860
SOM,1590
SRB,28230
SSA,5413.768345
SSD,
SSF,5175.445669
SST,25436.39443
STP,6210
SUR,19160
SVK,45010
SVN,55540
SWE,72190
SWZ,10550
SXM,50170
SYC,30920
SYR,
TCA,35400
TCD,2670
TEA,21710.05685
TEC,35184.01177
TGO,3160
THA,22930
TJK,6190
TKM,19670
TLA,21289.50389
TLS,5300
TMN,10712.42418
TON,8400
TSA,10085.81345
TSS,5175.445669
TTO,35320
TUN,13670
TUR,42760
TUV,8320
TZA,3940
UGA,3020
UKR,18160
UMC,23094.8931
URY,32100
USA,82600
UZB,11210
VCT,19860
VEN,
VGB,
VIR,
VNM,14260
VUT,4060
WLD,23220.32225
WSM,8100
XKX,16130
YEM,
ZAF,15000
ZMB,3830
ZWE,5730